n 93651 m 157137
v 415 93 21
v 416 91 56
v 417 73 84
v 418 46 17
v 419 83 15
v 420 104 73
v 421 59 39
v 422 32 74
v 423 111 64
v 424 59 43
v 425 78 88
v 426 57 92
v 427 112 78
v 428 37 12
v 429 83 91
v 430 36 47
v 431 22 20
v 432 79 10
v 433 63 65
v 434 49 30
v 435 2 9
v 436 1 9
v 437 6 13
v 438 1 7
v 439 4 8
v 440 1 9
v 441 8 13
v 442 6 16
v 443 15 17
v 444 4 14
v 445 13 22
v 446 5 18
v 447 16 10
v 448 21 28
v 449 3 20
v 450 7 14
v 451 3 22
v 452 10 20
v 453 6 27
v 454 30 28
v 455 31 39
v 456 5 27
v 457 4 13
v 458 5 9
v 459 9 13
v 460 1 40
v 461 25 36
v 462 12 39
v 463 19 10
v 464 36 32
v 465 29 7
v 466 5 17
v 467 35 11
v 468 30 34
v 469 39 40
v 470 7 45
v 471 4 52
v 472 31 32
v 473 9 15
v 474 7 60
v 475 29 66
v 476 18 21
v 477 40 35
v 478 2 63
v 479 9 9
v 480 48 49
v 481 34 26
v 482 23 40
v 483 51 60
v 484 40 28
v 485 47 18
v 486 15 8
v 487 14 31
v 488 50 56
v 489 83 13
v 490 52 49
v 491 7 59
v 492 83 75
v 493 30 65
v 494 92 47
v 495 13 61
v 496 71 33
v 497 25 87
v 498 24 68
v 499 71 13
v 500 4 60
v 501 24 98
v 502 79 79
v 503 87 112
v 504 74 75
v 505 76 33
v 506 40 108
v 507 78 115
v 508 20 66
v 509 59 30
v 510 60 63
v 511 92 100
v 512 69 61
v 513 83 41
v 514 31 42
v 515 97 124
v 516 91 57
v 517 80 78
v 518 68 58
v 519 125 109
v 520 117 52
v 521 47 80
v 522 24 18
v 523 107 120
v 524 88 20
v 525 86 9
v 526 43 133
v 527 39 121
v 528 125 16
v 529 27 23
v 530 37 136
v 531 140 95
v 532 144 76
v 533 116 17
v 534 108 113
v 535 110 87
v 536 118 152
v 537 136 151
v 538 156 73
v 539 135 106
v 540 130 169
v 541 69 78
v 542 13 80
v 543 121 134
v 544 107 27
v 545 40 135
v 546 66 146
v 547 94 32
v 548 17 58
v 549 40 79
v 550 161 11
v 551 173 37
v 552 183 128
v 553 94 58
v 554 183 37
v 555 36 67
v 556 11 113
v 557 100 62
v 558 154 107
v 559 169 16
v 560 24 147
v 561 145 87
v 562 40 90
v 563 164 85
v 564 156 188
v 565 81 71
v 566 165 120
v 567 100 199
v 568 175 81
v 569 181 179
v 570 0 7
v 571 1 7
v 572 0 9
v 573 2 8
v 574 0 8
v 575 0 13
v 576 2 12
v 577 2 14
v 578 2 15
v 579 13 13
v 580 16 21
v 581 3 12
v 582 13 8
v 583 17 18
v 584 1 27
v 585 2 29
v 586 14 8
v 587 3 8
v 588 4 11
v 589 16 21
v 590 5 35
v 591 27 18
v 592 5 27
v 593 23 9
v 594 4 41
v 595 3 35
v 596 25 13
v 597 3 18
v 598 33 17
v 599 42 24
v 600 6 37
v 601 19 40
v 602 7 56
v 603 1 56
v 604 39 43
v 605 43 34
v 606 16 37
v 607 37 55
v 608 28 28
v 609 4 51
v 610 30 28
v 611 48 15
v 612 63 42
v 613 59 66
v 614 61 76
v 615 49 76
v 616 36 17
v 617 40 68
v 618 63 60
v 619 35 82
v 620 34 58
v 621 7 60
v 622 27 57
v 623 48 85
v 624 86 78
v 625 56 21
v 626 19 81
v 627 91 64
v 628 27 25
v 629 69 39
v 630 28 24
v 631 75 55
v 632 19 41
v 633 99 72
v 634 13 102
v 635 80 86
v 636 56 71
v 637 18 56
v 638 3 86
v 639 56 108
v 640 64 63
v 641 85 24
v 642 25 89
v 643 55 67
v 644 32 94
v 645 41 82
v 646 108 67
v 647 15 87
v 648 13 67
v 649 79 15
v 650 71 106
v 651 15 13
v 652 14 86
v 653 9 75
v 654 34 51
v 655 95 62
v 656 72 104
v 657 21 94
v 658 102 55
v 659 102 79
v 660 29 129
v 661 8 60
v 662 145 84
v 663 117 138
v 664 97 65
v 665 4 137
v 666 45 36
v 667 98 78
v 668 15 140
v 669 147 44
v 670 12 36
v 671 5 117
v 672 11 86
v 673 56 106
v 674 86 80
v 675 94 46
v 676 118 35
v 677 166 167
v 678 54 63
v 679 108 50
v 680 95 156
v 681 64 145
v 682 86 95
v 683 91 101
v 684 72 168
v 685 24 183
v 686 97 96
v 687 31 136
v 688 167 180
v 689 3 107
v 690 170 54
v 691 135 85
v 692 172 32
v 693 108 140
v 694 134 188
v 695 137 105
v 696 65 43
v 697 18 76
v 698 5 46
v 699 73 88
v 700 133 208
v 701 134 174
v 702 59 203
v 703 157 187
v 704 10 167
v 705 184 184
v 706 193 136
v 707 80 86
v 708 39 223
v 709 180 111
v 710 215 86
v 711 0 7
v 712 0 8
v 713 0 9
v 714 2 8
v 715 0 8
v 716 5 9
v 717 4 13
v 718 1 11
v 719 7 12
v 720 3 16
v 721 10 13
v 722 2 12
v 723 5 19
v 724 3 18
v 725 5 13
v 726 0 10
v 727 13 11
v 728 11 15
v 729 9 18
v 730 7 14
v 731 19 15
v 732 5 22
v 733 9 28
v 734 3 15
v 735 19 26
v 736 13 22
v 737 11 29
v 738 23 18
v 739 27 22
v 740 24 15
v 741 1 28
v 742 6 25
v 743 31 33
v 744 4 22
v 745 15 22
v 746 7 8
v 747 8 11
v 748 37 15
v 749 1 7
v 750 6 20
v 751 13 45
v 752 32 32
v 753 33 43
v 754 27 7
v 755 35 24
v 756 9 10
v 757 40 35
v 758 47 26
v 759 48 50
v 760 4 56
v 761 19 12
v 762 11 13
v 763 16 40
v 764 9 25
v 765 18 50
v 766 40 42
v 767 21 52
v 768 29 30
v 769 50 58
v 770 29 35
v 771 8 55
v 772 32 46
v 773 50 26
v 774 39 16
v 775 26 47
v 776 22 9
v 777 21 44
v 778 49 48
v 779 38 73
v 780 45 43
v 781 12 12
v 782 0 11
v 783 22 42
v 784 16 65
v 785 61 19
v 786 47 56
v 787 43 24
v 788 44 64
v 789 16 50
v 790 20 71
v 791 19 39
v 792 15 19
v 793 24 77
v 794 2 21
v 795 38 15
v 796 39 41
v 797 63 84
v 798 6 55
v 799 5 73
v 800 79 71
v 801 6 29
v 802 88 75
v 803 36 26
v 804 49 76
v 805 91 33
v 806 93 70
v 807 62 64
v 808 73 59
v 809 31 72
v 810 20 86
v 811 32 92
v 812 54 67
v 813 81 30
v 814 94 97
v 815 46 27
v 816 72 94
v 817 105 51
v 818 95 98
v 819 20 85
v 820 90 57
v 821 82 38
v 822 80 66
v 823 8 55
v 824 36 38
v 825 14 59
v 826 15 110
v 827 81 55
v 828 43 16
v 829 36 57
v 830 1 15
v 831 62 16
v 832 3 84
v 833 75 80
v 834 21 103
v 835 107 103
v 836 85 73
v 837 15 70
v 838 19 86
v 839 118 76
v 840 19 130
v 841 84 54
v 842 103 129
v 843 13 131
v 844 10 43
v 845 119 40
v 846 9 118
v 847 95 27
v 848 21 53
v 849 88 87
v 850 12 104
v 851 18 52
v 852 74 126
v 853 74 8
v 854 77 116
v 855 132 17
v 856 140 139
v 857 14 97
v 858 146 46
v 859 90 20
v 860 10 110
v 861 20 38
v 862 44 84
v 863 93 40
v 864 9 155
v 865 87 83
v 866 107 152
v 867 44 84
v 868 86 130
v 869 93 42
v 870 43 7
v 871 99 31
v 872 158 8
v 873 76 79
v 874 136 33
v 875 150 128
v 876 1 0
v 877 1 0
v 878 2 1
v 879 1 2
v 880 2 3
v 881 4 1
v 882 4 4
v 883 2 6
v 884 1 0
v 885 10 3
v 886 8 6
v 887 5 6
v 888 10 4
v 889 8 5
v 890 12 4
v 891 16 14
v 892 14 3
v 893 14 17
v 894 5 7
v 895 19 13
v 896 20 10
v 897 16 20
v 898 1 18
v 899 24 20
v 900 4 23
v 901 19 8
v 902 12 2
v 903 21 20
v 904 24 8
v 905 19 29
v 906 6 18
v 907 15 13
v 908 14 4
v 909 33 26
v 910 4 9
v 911 6 13
v 912 23 14
v 913 2 2
v 914 4 23
v 915 27 32
v 916 10 32
v 917 25 28
v 918 7 2
v 919 8 20
v 920 4 29
v 921 1 13
v 922 18 2
v 923 27 5
v 924 32 32
v 925 18 39
v 926 38 11
v 927 27 4
v 928 46 0
v 929 47 6
v 930 3 17
v 931 30 12
v 932 41 15
v 933 26 23
v 934 52 3
v 935 20 48
v 936 37 37
v 937 53 51
v 938 34 18
v 939 6 18
v 940 64 42
v 941 41 2
v 942 47 58
v 943 21 60
v 944 27 10
v 945 28 34
v 946 60 35
v 947 7 5
v 948 6 41
v 949 68 9
v 950 71 20
v 951 11 38
v 952 18 46
v 953 29 74
v 954 79 65
v 955 15 28
v 956 49 56
v 957 41 32
v 958 47 4
v 959 32 34
v 960 63 35
v 961 57 69
v 962 47 70
v 963 11 56
v 964 88 56
v 965 82 9
v 966 4 46
v 967 83 85
v 968 56 38
v 969 19 24
v 970 59 87
v 971 66 48
v 972 49 10
v 973 1 17
v 974 40 41
v 975 83 82
v 976 61 60
v 977 28 76
v 978 68 9
v 979 100 33
v 980 60 34
v 981 79 70
v 982 45 79
v 983 15 98
v 984 85 70
v 985 42 41
v 986 14 50
v 987 53 42
v 988 106 86
v 989 70 39
v 990 15 51
v 991 24 85
v 992 54 54
v 993 64 116
v 994 19 39
v 995 59 34
v 996 116 80
v 997 33 80
v 998 114 46
v 999 118 78
v 1000 3 36
v 1001 84 28
v 1002 80 54
v 1003 56 44
v 1004 123 69
v 1005 7 16
v 1006 18 80
v 1007 95 93
v 1008 49 128
v 1009 74 41
v 1010 95 66
v 1011 77 87
v 1012 10 104
v 1013 68 98
v 1014 30 44
v 1015 32 90
v 1016 63 63
v 1017 8 24
v 1018 44 132
v 1019 64 106
v 1020 47 106
v 1021 2 18
v 1022 57 46
v 1023 128 119
v 1024 96 73
v 1025 48 120
v 1026 136 8
v 1027 45 61
v 1028 122 121
v 1029 152 10
v 1030 62 8
v 1031 143 48
v 1032 84 113
v 1033 33 143
v 1034 155 68
v 1035 71 149
v 1036 129 126
v 1037 133 10
v 1038 4 162
v 1039 115 125
v 1040 45 63
v 1041 15 37
v 1042 46 7
v 1043 108 52
v 1044 1 0
v 1045 1 0
v 1046 3 1
v 1047 1 0
v 1048 5 1
v 1049 1 4
v 1050 5 4
v 1051 4 2
v 1052 3 1
v 1053 7 1
v 1054 8 8
v 1055 7 8
v 1056 11 8
v 1057 2 4
v 1058 5 9
v 1059 8 1
v 1060 9 7
v 1061 15 3
v 1062 19 16
v 1063 6 12
v 1064 7 17
v 1065 5 3
v 1066 21 6
v 1067 9 19
v 1068 2 8
v 1069 21 18
v 1070 14 2
v 1071 28 14
v 1072 6 18
v 1073 9 3
v 1074 3 4
v 1075 16 21
v 1076 10 15
v 1077 10 33
v 1078 8 28
v 1079 21 10
v 1080 35 20
v 1081 24 30
v 1082 21 21
v 1083 34 7
v 1084 20 25
v 1085 7 13
v 1086 24 23
v 1087 3 8
v 1088 7 24
v 1089 2 29
v 1090 9 32
v 1091 15 33
v 1092 43 33
v 1093 33 8
v 1094 31 9
v 1095 42 3
v 1096 36 36
v 1097 4 22
v 1098 45 36
v 1099 53 10
v 1100 31 35
v 1101 53 37
v 1102 53 1
v 1103 26 25
v 1104 37 33
v 1105 14 24
v 1106 43 26
v 1107 19 11
v 1108 59 14
v 1109 47 8
v 1110 32 40
v 1111 17 5
v 1112 45 20
v 1113 57 15
v 1114 3 60
v 1115 17 55
v 1116 57 0
v 1117 49 10
v 1118 61 11
v 1119 68 1
v 1120 59 31
v 1121 61 38
v 1122 55 75
v 1123 36 68
v 1124 47 36
v 1125 34 7
v 1126 62 18
v 1127 72 45
v 1128 70 67
v 1129 65 5
v 1130 50 24
v 1131 4 56
v 1132 10 37
v 1133 4 21
v 1134 9 88
v 1135 69 56
v 1136 72 59
v 1137 51 64
v 1138 47 63
v 1139 92 73
v 1140 58 32
v 1141 43 82
v 1142 41 42
v 1143 20 53
v 1144 89 62
v 1145 43 86
v 1146 65 83
v 1147 29 39
v 1148 51 3
v 1149 25 59
v 1150 16 5
v 1151 102 10
v 1152 37 95
v 1153 47 108
v 1154 97 62
v 1155 1 57
v 1156 23 16
v 1157 80 97
v 1158 106 33
v 1159 50 46
v 1160 81 35
v 1161 118 81
v 1162 97 16
v 1163 51 95
v 1164 108 5
v 1165 35 36
v 1166 5 26
v 1167 62 50
v 1168 72 106
v 1169 67 43
v 1170 118 96
v 1171 114 61
v 1172 38 22
v 1173 30 12
v 1174 109 112
v 1175 89 6
v 1176 40 105
v 1177 21 65
v 1178 23 63
v 1179 96 63
v 1180 113 32
v 1181 72 61
v 1182 36 16
v 1183 33 42
v 1184 70 74
v 1185 96 35
v 1186 4 133
v 1187 130 80
v 1188 38 133
v 1189 69 68
v 1190 132 20
v 1191 82 94
v 1192 148 137
v 1193 116 32
v 1194 9 91
v 1195 7 16
v 1196 20 128
v 1197 17 133
v 1198 125 95
v 1199 137 35
v 1200 128 83
v 1201 130 79
v 1202 135 93
v 1203 1 110
v 1204 60 25
v 1205 66 86
v 1206 8 46
v 1207 66 62
v 1208 150 59
v 1209 17 82
v 1210 84 37
v 1211 139 72
v 1212 1 0
v 1213 1 0
v 1214 2 2
v 1215 3 3
v 1216 4 3
v 1217 4 1
v 1218 3 3
v 1219 8 1
v 1220 5 5
v 1221 7 2
v 1222 9 4
v 1223 8 7
v 1224 10 3
v 1225 6 1
v 1226 4 12
v 1227 1 3
v 1228 12 0
v 1229 17 1
v 1230 19 0
v 1231 7 3
v 1232 1 7
v 1233 18 6
v 1234 13 7
v 1235 18 10
v 1236 7 16
v 1237 25 9
v 1238 18 17
v 1239 6 10
v 1240 7 23
v 1241 23 28
v 1242 11 5
v 1243 14 3
v 1244 21 17
v 1245 33 2
v 1246 32 10
v 1247 29 18
v 1248 3 21
v 1249 22 25
v 1250 11 4
v 1251 26 29
v 1252 11 29
v 1253 36 40
v 1254 34 33
v 1255 23 24
v 1256 7 15
v 1257 27 25
v 1258 21 1
v 1259 34 20
v 1260 2 23
v 1261 3 41
v 1262 3 0
v 1263 19 22
v 1264 53 17
v 1265 21 52
v 1266 10 24
v 1267 6 0
v 1268 18 21
v 1269 51 50
v 1270 42 40
v 1271 56 33
v 1272 1 29
v 1273 15 26
v 1274 23 49
v 1275 33 41
v 1276 27 55
v 1277 38 64
v 1278 15 28
v 1279 26 45
v 1280 16 31
v 1281 3 24
v 1282 16 8
v 1283 19 43
v 1284 66 65
v 1285 61 44
v 1286 58 1
v 1287 64 17
v 1288 74 52
v 1289 16 13
v 1290 75 71
v 1291 70 69
v 1292 35 58
v 1293 44 6
v 1294 8 19
v 1295 83 56
v 1296 12 63
v 1297 71 5
v 1298 32 33
v 1299 41 42
v 1300 16 10
v 1301 43 28
v 1302 77 16
v 1303 68 23
v 1304 28 3
v 1305 88 3
v 1306 80 93
v 1307 25 10
v 1308 89 93
v 1309 47 87
v 1310 19 37
v 1311 43 48
v 1312 45 55
v 1313 39 66
v 1314 94 89
v 1315 67 89
v 1316 18 88
v 1317 24 84
v 1318 101 32
v 1319 84 102
v 1320 78 16
v 1321 109 34
v 1322 35 88
v 1323 25 16
v 1324 12 79
v 1325 97 12
v 1326 62 74
v 1327 36 25
v 1328 110 47
v 1329 65 1
v 1330 29 31
v 1331 28 88
v 1332 105 45
v 1333 70 98
v 1334 66 42
v 1335 29 82
v 1336 57 19
v 1337 93 30
v 1338 30 2
v 1339 83 98
v 1340 72 95
v 1341 18 19
v 1342 99 72
v 1343 19 10
v 1344 122 11
v 1345 24 46
v 1346 9 6
v 1347 23 112
v 1348 26 47
v 1349 131 32
v 1350 56 116
v 1351 56 134
v 1352 24 35
v 1353 107 57
v 1354 89 74
v 1355 26 6
v 1356 27 7
v 1357 28 8
v 1358 28 7
v 1359 29 9
v 1360 28 6
v 1361 32 10
v 1362 27 11
v 1363 26 6
v 1364 33 9
v 1365 32 8
v 1366 29 9
v 1367 33 11
v 1368 32 14
v 1369 28 11
v 1370 27 19
v 1371 30 15
v 1372 33 12
v 1373 40 11
v 1374 32 25
v 1375 40 7
v 1376 27 24
v 1377 33 23
v 1378 48 12
v 1379 28 26
v 1380 34 11
v 1381 35 6
v 1382 32 22
v 1383 32 31
v 1384 50 6
v 1385 47 21
v 1386 27 33
v 1387 34 10
v 1388 46 36
v 1389 49 10
v 1390 40 32
v 1391 52 27
v 1392 27 34
v 1393 37 18
v 1394 53 30
v 1395 63 23
v 1396 27 22
v 1397 45 9
v 1398 36 49
v 1399 70 35
v 1400 71 10
v 1401 52 18
v 1402 50 24
v 1403 58 47
v 1404 28 38
v 1405 49 23
v 1406 75 44
v 1407 34 50
v 1408 48 19
v 1409 62 34
v 1410 31 46
v 1411 62 20
v 1412 69 60
v 1413 35 23
v 1414 80 59
v 1415 72 53
v 1416 82 29
v 1417 30 49
v 1418 64 16
v 1419 65 70
v 1420 52 20
v 1421 86 26
v 1422 64 71
v 1423 42 14
v 1424 26 70
v 1425 70 39
v 1426 50 24
v 1427 54 35
v 1428 80 31
v 1429 39 21
v 1430 65 78
v 1431 28 46
v 1432 55 11
v 1433 96 69
v 1434 66 77
v 1435 91 27
v 1436 47 72
v 1437 98 61
v 1438 76 9
v 1439 28 7
v 1440 36 77
v 1441 102 6
v 1442 48 68
v 1443 71 21
v 1444 37 11
v 1445 60 23
v 1446 100 24
v 1447 54 19
v 1448 27 91
v 1449 67 100
v 1450 89 42
v 1451 51 72
v 1452 111 40
v 1453 47 65
v 1454 63 72
v 1455 120 58
v 1456 76 75
v 1457 57 49
v 1458 49 9
v 1459 116 69
v 1460 91 91
v 1461 43 55
v 1462 61 95
v 1463 55 104
v 1464 103 106
v 1465 116 49
v 1466 29 62
v 1467 73 38
v 1468 57 52
v 1469 38 47
v 1470 82 108
v 1471 45 71
v 1472 103 22
v 1473 141 71
v 1474 46 85
v 1475 107 50
v 1476 125 111
v 1477 48 28
v 1478 55 114
v 1479 125 59
v 1480 109 88
v 1481 78 78
v 1482 38 120
v 1483 85 59
v 1484 91 79
v 1485 91 45
v 1486 112 25
v 1487 102 133
v 1488 150 66
v 1489 107 24
v 1490 64 90
v 1491 30 133
v 1492 48 65
v 1493 154 69
v 1494 123 37
v 1495 153 11
v 1496 53 18
v 1497 75 87
v 1498 78 45
v 1499 53 6
v 1500 73 59
v 1501 97 68
v 1502 44 92
v 1503 56 43
v 1504 79 88
v 1505 65 126
v 1506 118 141
v 1507 44 134
v 1508 65 128
v 1509 99 22
v 1510 82 22
v 1511 127 115
v 1512 87 37
v 1513 106 107
v 1514 130 123
v 1515 180 28
v 1516 83 74
v 1517 35 61
v 1518 83 163
v 1519 74 111
v 1520 159 46
v 1521 139 103
v 1522 70 149
v 1523 85 109
v 1524 117 151
v 1525 31 108
v 1526 153 78
v 1527 189 126
v 1528 175 6
v 1529 27 64
v 1530 51 60
v 1531 100 25
v 1532 164 158
v 1533 70 98
v 1534 84 174
v 1535 120 131
v 1536 125 109
v 1537 97 116
v 1538 103 138
v 1539 141 87
v 1540 143 187
v 1541 117 189
v 1542 148 130
v 1543 205 175
v 1544 116 192
v 1545 45 69
v 1546 120 109
v 1547 45 168
v 1548 176 116
v 1549 26 180
v 1550 205 120
v 1551 188 50
v 1552 199 21
v 1553 160 154
v 1554 138 167
v 1555 152 149
v 1556 169 207
v 1557 196 141
v 1558 217 130
v 1559 77 46
v 1560 220 64
v 1561 220 96
v 1562 140 54
v 1563 134 149
v 1564 81 134
v 1565 86 40
v 1566 50 165
v 1567 118 58
v 1568 124 117
v 1569 74 213
v 1570 229 92
v 1571 114 35
v 1572 71 91
v 1573 218 196
v 1574 35 143
v 1575 142 85
v 1576 97 223
v 1577 44 186
v 1578 176 167
v 1579 108 58
v 1580 136 163
v 1581 56 197
v 1582 192 198
v 1583 60 138
v 1584 115 210
v 1585 51 8
v 1586 177 29
v 1587 56 211
v 1588 60 126
v 1589 221 48
v 1590 224 191
v 1591 161 167
v 1592 119 115
v 1593 253 19
v 1594 229 217
v 1595 82 246
v 1596 94 223
v 1597 171 71
v 1598 201 40
v 1599 122 189
v 1600 214 115
v 1601 108 230
v 1602 197 21
v 1603 110 28
v 1604 267 15
v 1605 191 217
v 1606 88 55
v 1607 78 84
v 1608 177 229
v 1609 252 93
v 1610 135 202
v 1611 207 68
v 1612 239 83
v 1613 249 41
v 1614 189 93
v 1615 154 22
v 1616 217 154
v 1617 252 196
v 1618 108 146
v 1619 129 102
v 1620 165 201
v 1621 191 111
v 1622 92 41
v 1623 76 100
v 1624 216 133
v 1625 286 193
v 1626 216 51
v 1627 261 278
v 1628 184 206
v 1629 140 236
v 1630 132 268
v 1631 217 257
v 1632 109 139
v 1633 247 233
v 1634 251 51
v 1635 61 51
v 1636 237 280
v 1637 303 55
v 1638 106 61
v 1639 107 210
v 1640 26 6
v 1641 27 6
v 1642 28 8
v 1643 29 9
v 1644 27 8
v 1645 26 8
v 1646 29 7
v 1647 27 6
v 1648 31 7
v 1649 35 7
v 1650 27 15
v 1651 30 11
v 1652 33 12
v 1653 38 11
v 1654 35 11
v 1655 27 15
v 1656 32 16
v 1657 29 14
v 1658 34 17
v 1659 39 14
v 1660 38 6
v 1661 35 15
v 1662 32 21
v 1663 29 15
